,Date,Timestamp,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,Tweets
40,10/02/2022,1644431400.0,32894,15770,2.65,"Gandhi Jayanti, Tirumala Sri TTSwarna Ratham, Saraswathi Puja",84,Clear sky,[]
41,11/02/2022,1644517800.0,32894,14359,2.55,normal,84,Clear sky,[]
42,12/02/2022,1644604200.0,36333,17174,2.63,normal,84,Clear sky,[]
43,13/02/2022,1644690600.0,33356,16259,2.73,normal,82,Partly cloudy,[]
44,14/02/2022,1644777000.0,64425,29476,2.65,Punarvasu,82,Few clouds,"['\n??????? ????????? ??????? - ???? ????? ??????? 15 ?????? ???? ????? ????????????? ?????????!', '\n????? ????? ????????? ?????????? ????????? ??????????????? ??????.\n\n?????? 15??? ???????? ????.\n\n ???????,??????????,????????? ?????? ???? ?????????? ????????', '\n?????????? ?? ???????? ????? ???????? ???????? ?????????..???????? ???? ????? ???????, ????? ????????? ???????? ?????? ??????? \n@yvsubbareddymp\n ???? ???????', '\n??????:????? ????? ????????? ?????????? ??????? ?????? ??????????????? ??????. ?????? 15??? ???????? ????. ???????,??????????,????????? ?????? ???? ???????? ???? ?????????? ??????.']"
45,15/02/2022,1644863400.0,31794,16731,2.58,normal,84,Broken clouds,['\n????????????? ????? ????? ???? ????????????? ??????\n\n?????? ?????? ??????????????? ????????? ???? ????????????? ??????\n\n????? ???? 9 ??? ????? ???? ????? ?????????? ?????? ?????????\n\n???????????? 10 ?????? ???? ????? ????????????? ??????????? ?????? ']
46,16/02/2022,1644949800.0,39691,18303,2.23,"Purnima, Tirupati Sri G.T Float Ends, Sri Kumaradhara Teertha Mukkoti",84,Partly cloudy,['\nrest easy family we gone turn up like u want us to love u dawg ']
47,17/02/2022,1645036200.0,39335,18834,3.01,normal,84,Broken clouds,"[""\nReplying to \n@TylerDurden_\nIs Swamy vari prasadam served in 24/7?? Think wise . Bhaktulu eppuduyna food kavali ante prasadam kosam wait cheyyadam kastam kada. How does TTD asses the count of bhakth. It's not at all acceptable. They can do control over prices "", '\n???????? ???????????? ??? ????? ?????\n\n??????? ????? ?????????? ???? ???????? ?????\n\n???????? ??????? ???????? ????????\n\n- ?????? ??????? ???? ???????????? ????', '\n?????? ???? ?? ????? ???? ???????? ??????????? ??? ??????????? ?????? ???????.', '\n???????? ???????????? ??? ????? ?????\n\n- ?????? ??????? ???? ???????????? ', '\n???????? ????????\u200c ??????? ???????? ????????.. ??????? ????? ?????????? ???? ??????? ??? ????? ?????.. ?????? ?????????????? ????????????-?????? ???????\u200c ???? ????????????', '\n?????? ?? ??. 9 ????? 20 ?????? ??????']"
48,18/02/2022,1645122600.0,35584,18608,2.85,normal,84,Clear sky,[]
49,19/02/2022,1645209000.0,41463,21975,2.46,normal,84,Clear sky,['\n???????? ???????????? ??? ????? ????? ?????? ???????? ???? ??????.\n??? Vip ?? VVip ?? ??? ???? ??????? ??????? ??? ????? ?????? ????????? ?']
50,20/02/2022,1645295400.0,41390,20527,3.06,Srinivasa Mangapuram Sri KVS Brahmotsavam Begins,90,Clear sky,"['\nHeaven on earth \nTirumala', '\nMakes sense.', '\n""?????? ?????????? ??????? ????????? ??????????""..\n\n?????????? ???? ??????? ????? ?????? ?????, ???? ????? ??????? ??????? ????? ????? ????? ??????????..\n\n?? ??????..', '', '\n??? ??? ??????? ????????????? ???? ?????? ????????? ?????? ???????????? ?????? ?? ???????? ????????. ']"
51,21/02/2022,1645381800.0,39619,21846,3.4,normal,91,Partly cloudy,[]
