,Date,Piligrims,Tonsures,Hundi,Temperature,Condition,ttd online darshan tickets,Tirupati,Tirumala,VIP darshan,How to reach Tirupati,ttd sarva darshan tickets,ttd free darshan online booking availability,apsrtc tirumala darshan tickets,apsrtc ttd 300 tickets,ksrtc tirupati package,srinivasam complex,tirumala darshan tickets,tirumala darshan,tirupati balaji.ap.gov.in,tirupati darshan 500 rupees ticket,ttd free darshan online booking availability.1,Week_day,Review,Timestamp,Day,Speciality,Festivals,Tidi,Seva_Begins,Sevas,Public_Day,Normal
40,2022-2-10,32894,15770,2.65,84,862,10,29,14,13,0,0,11,48,0,0,0,17,7,0,0,11,0,0,1644431400.0,Thursday,"Gandhi Jayanti, Tirumala Sri TTSwarna Ratham, Saraswathi Puja",1,0,0,1,1,0
41,2022-2-11,32894,14359,2.55,84,862,0,40,22,0,30,17,0,0,0,30,0,13,21,19,0,0,0,0,1644517800.0,Friday,normal,0,0,0,0,0,1
42,2022-2-12,36333,17174,2.63,84,862,15,42,26,0,0,0,9,100,0,0,22,11,25,0,0,9,1,0,1644604200.0,Saturday,normal,0,0,0,0,0,1
43,2022-2-13,33356,16259,2.73,82,1324,17,36,23,19,0,76,21,0,0,0,31,11,17,8,64,21,1,0,1644690600.0,Sunday,normal,0,0,0,0,0,1
44,2022-2-14,64425,29476,2.65,82,972,20,41,23,8,0,0,15,16,0,0,15,16,15,0,0,15,0,0,1644777000.0,Monday,Punarvasu,0,1,0,0,0,0
45,2022-2-15,31794,16731,2.58,84,1291,8,44,25,22,19,0,0,0,0,25,20,7,18,0,0,0,0,1,1644863400.0,Tuesday,normal,0,0,0,0,0,1
46,2022-2-16,39691,18303,2.23,84,1324,14,43,27,14,0,27,17,18,0,41,0,13,18,0,0,17,0,1,1644949800.0,Wednesday,"Purnima, Tirupati Sri G.T Float Ends, Sri Kumaradhara Teertha Mukkoti",0,1,0,1,0,0
47,2022-2-17,39335,18834,3.01,84,1291,8,43,24,12,0,12,19,0,0,63,0,15,14,0,0,19,0,1,1645036200.0,Thursday,normal,0,0,0,0,0,1
48,2022-2-18,35584,18608,2.85,84,862,4,47,27,17,0,24,23,0,0,0,40,11,15,0,0,23,0,0,1645122600.0,Friday,normal,0,0,0,0,0,1
49,2022-2-19,41463,21975,2.46,84,862,17,50,26,8,0,0,10,0,0,0,0,15,24,15,0,10,1,0,1645209000.0,Saturday,normal,0,0,0,0,0,1
50,2022-2-20,41390,20527,3.06,90,862,14,46,26,0,43,0,0,0,35,30,0,25,23,5,35,0,1,1,1645295400.0,Sunday,Srinivasa Mangapuram Sri KVS Brahmotsavam Begins,0,0,0,1,0,0
51,2022-2-21,39619,21846,3.4,91,1324,6,47,28,9,0,0,5,0,20,0,0,21,17,6,0,5,0,0,1645381800.0,Monday,normal,0,0,0,0,0,1
52,2022-2-22,38000,17778,3.1,90,862,8,46,30,26,0,0,21,0,0,0,52,33,29,12,0,21,0,1,1645468200.0,Tuesday,Tirupati Sri KT Brahmotsavam Begins,0,0,1,0,0,0
53,2022-2-23,37216,22009,2.72,86,1324,100,100,100,60,0,87,100,0,0,17,30,100,100,100,0,100,0,0,1645554600.0,Wednesday,normal,0,0,0,0,0,1
54,2022-2-24,53740,26977,3.21,86,972,19,59,38,0,24,14,27,0,0,67,0,27,24,13,0,27,0,1,1645641000.0,Thursday,"Sri G.T Adhyayanotsavam Ends, Srinivasa Mangapuram Sri KVS Garuda Seva",0,0,0,1,0,0
55,2022-2-25,56559,28751,5.41,86,862,12,58,32,30,0,0,9,0,0,18,33,8,20,12,0,9,0,0,1645727400.0,Friday,normal,0,0,0,0,0,1
56,2022-2-26,65704,33187,3.67,86,862,7,58,38,16,35,25,13,0,0,0,0,23,25,13,34,13,1,0,1645813800.0,Saturday,normal,0,0,0,0,0,1
57,2022-2-27,68095,29050,3.94,88,862,13,53,39,30,0,0,22,0,0,0,54,9,19,0,25,22,1,0,1645900200.0,Sunday,"Ekadasi, Srinivasa Mangapuram, Sri KVS Rathotsavam",0,1,0,1,0,0
58,2022-2-28,55532,25114,4.33,88,862,18,57,44,17,0,17,14,0,0,0,36,30,26,16,0,14,0,0,1645986600.0,Monday,"Sravanam, Srinivasa Mangapuram Sri KVS Brahmotsavam Ends",0,1,0,1,0,0
59,2022-3-1,53163,20651,4.51,88,972,3,47,27,20,0,13,20,0,23,0,20,15,15,0,27,20,0,0,1646073000.0,Tuesday,normal,0,0,0,0,0,1
60,2022-3-2,46172,19395,3.33,88,1324,15,47,28,25,23,0,13,0,0,17,20,18,12,0,33,13,0,1,1646159400.0,Wednesday,normal,0,0,0,0,0,1
61,2022-3-3,50511,22089,3.63,84,1291,0,47,27,26,0,0,0,14,0,0,13,10,13,0,19,0,0,0,1646245800.0,Thursday,Tirupati Sri KT Brahmotsavam Ends,0,0,0,1,0,0
